team_id,team_abbr,team_name,season_id,wins,games,pts,reb,ast,stl,blk,tov,fg_pct,fg3_pct,ft_pct,wins_predicted,residual,stat_padding_score
1610612737,ATL,Atlanta Hawks,22007,37,82,98.21951219512195,42.21951219512195,22.0,7.317073170731708,5.463414634146342,14.914634146341463,0.45463414634146343,0.34345121951219515,0.770951219512195,38.18171870887536,-1.1817187088753585,1.1817187088753585
1610612737,ATL,Atlanta Hawks,22008,47,82,98.1219512195122,40.02439024390244,20.20731707317073,7.353658536585366,4.585365853658536,12.78048780487805,0.4589390243902439,0.3658170731707317,0.738390243902439,43.7982668562817,3.2017331437183003,-3.2017331437183003
1610612737,ATL,Atlanta Hawks,22009,53,82,101.6829268292683,41.707317073170735,21.817073170731707,7.219512195121951,5.036585365853658,11.951219512195122,0.4687926829268293,0.35923170731707316,0.752780487804878,52.23995569337312,0.7600443066268809,-0.7600443066268809
1610612737,ATL,Atlanta Hawks,22010,44,82,95.0,39.292682926829265,21.975609756097562,6.060975609756097,4.158536585365853,13.634146341463415,0.46337804878048783,0.3594878048780488,0.7732682926829268,38.809590787116605,5.190409212883395,-5.190409212883395
1610612737,ATL,Atlanta Hawks,22011,40,66,96.5909090909091,41.18181818181818,22.439393939393938,8.121212121212121,4.590909090909091,13.954545454545455,0.4546060606060606,0.3717272727272727,0.7486363636363635,46.42256802313486,-6.422568023134858,6.422568023134858
1610612737,ATL,Atlanta Hawks,22013,38,82,101.0,39.97560975609756,24.890243902439025,8.292682926829269,3.975609756097561,15.25609756097561,0.45852439024390246,0.35979268292682925,0.7829634146341464,34.21351708032536,3.78648291967464,-3.78648291967464
1610612737,ATL,Atlanta Hawks,22014,60,82,102.54878048780488,40.5609756097561,25.74390243902439,9.073170731707316,4.634146341463414,14.231707317073171,0.46718292682926826,0.38014634146341464,0.7765121951219512,49.14898212516726,10.851017874832742,-10.851017874832742
1610612737,ATL,Atlanta Hawks,22015,48,82,102.84146341463415,42.08536585365854,25.609756097560975,9.109756097560975,5.926829268292683,14.951219512195122,0.4586219512195122,0.35164634146341467,0.7780121951219512,42.833060604213486,5.166939395786514,-5.166939395786514
1610612737,ATL,Atlanta Hawks,22016,43,82,103.15853658536585,44.329268292682926,23.634146341463413,8.195121951219512,4.841463414634147,15.78048780487805,0.45209756097560977,0.3413414634146341,0.7260609756097561,35.08809866638678,7.911901333613223,-7.911901333613223
1610612737,ATL,Atlanta Hawks,22017,24,82,103.35365853658537,41.90243902439025,23.73170731707317,7.780487804878049,4.2439024390243905,15.536585365853659,0.44771951219512196,0.36346341463414633,0.7870975609756098,29.72481641951722,-5.7248164195172215,5.7248164195172215
1610612737,ATL,Atlanta Hawks,22018,29,82,113.34146341463415,46.09756097560975,25.829268292682926,8.231707317073171,5.109756097560975,17.036585365853657,0.45178048780487806,0.3509756097560976,0.7518170731707318,26.618207484593068,2.381792515406932,-2.381792515406932
1610612737,ATL,Atlanta Hawks,22019,20,67,111.76119402985074,43.25373134328358,23.955223880597014,7.8059701492537314,5.08955223880597,16.208955223880597,0.45029850746268657,0.33244776119402986,0.7883582089552239,19.04881238667467,0.951187613325331,-0.951187613325331
1610612737,ATL,Atlanta Hawks,22020,41,72,113.69444444444444,45.625,24.125,6.986111111111111,4.75,13.23611111111111,0.4691388888888889,0.37019444444444444,0.8134444444444444,48.73885919682607,-7.73885919682607,7.73885919682607
1610612737,ATL,Atlanta Hawks,22021,43,82,113.9390243902439,43.97560975609756,24.597560975609756,7.158536585365853,4.2439024390243905,11.853658536585366,0.47113414634146344,0.3717439024390244,0.8117682926829268,49.80925263681066,-6.809252636810662,6.809252636810662
1610612737,ATL,Atlanta Hawks,22022,41,82,118.42682926829268,44.3780487804878,24.98780487804878,7.073170731707317,4.890243902439025,12.926829268292684,0.48432926829268297,0.35339024390243906,0.8196585365853659,46.73014699015149,-5.730146990151489,5.730146990151489
